name,group_type,type,S_N,S_N_err,ra,dec,distance,distance_err,dmod,dmod_err,M_V,M_V_err,T,T_err,N_GC,N_GC_err,environment,density,F_blue,T_blue,Extent,Extent_err,id,Source,mass,mass_err,oursurvey,M_BH,name2,sig_e,sig_e_err,R_e,R_e_err,Mdyn,Mdyn_err,m_K,m_K_err,M_K,M_K_err
NGC4406,E,E3,3.5,0.5,186.5489285,12.9462217,17.09,0.52,31.2,0.1,-22.3,0.2,4.1,0.6,2900,400,Virgo,1.41,0.62,2.5,83,6,2,R04,11.9,0.1,Our survey,NA,NGC4406,234.8,3.1,12.69,0.39,11.81,0.02,6.10,0.03,-25.06,0.07
NGC4472,E,E2,3.6,0.6,187.4448412,8.0004758,17.03,0.21,31.2,0.0,-23.1,0.2,4.2,0.6,5870,680,Virgo,3.31,0.6,2.6,102,7,1,RZ01,12.2,0.1,Our survey,9.25527,NGC4472,293.8,2.9,12.65,0.16,12.00,0.01,5.40,0.03,-25.76,0.04
NGC4762,S0,SB0,0.9,0.2,193.2335417,11.2308056,23.88,2.5,31.9,0.2,-21.39,0.24,1.4,0.4,270,30,Virgo,2.65,0.4,0.6,27,7,9,H12,11.3,0.1,Our survey,NA,NGC4762,147.1,10.3,10.44,1.09,11.32,0.10,7.30,0.03,-24.59,0.23
NGC1316,S0,SAB0pec,1.2,0.2,NA,NA,17.8,1,31.3,0.1,-22.8,0.2,1.8,0.2,1450,200,Fornax,NA,NA,NA,70,10,NA,Richtler12,11.9,0.1,Our survey,NA,NGC1316,227.7,3.1,10.19,0.14,11.69,0.02,5.59,0.02,-25.67,0.12
NGC5813,E,E1,3.6,0.8,225.2967954,1.7019808,32.21,2.78,32.5,0.2,-22.06,0.23,4.2,0.9,2890,394,N5846,0.88,0.68,2.8,121,14,5,H12,11.8,0.1,Our survey,8.8451,NGC5813,236.5,3.4,8.93,0.77,11.67,0.05,7.41,0.03,-25.13,0.19
NGC5846,E,E0,4.8,1.5,NA,NA,24.9,0.5,32.0,0.0,-22,0.2,5.6,1.7,3100,150,Group,NA,0.35,2,96.3,17.2,46,in Prep,11.744,0.08,Our survey,NA,NGC5846,239.3,4.3,7.56,0.73,11.60,0.06,6.95,0.03,-25.03,0.05
NGC4382,S0,S0,3.8,0.7,186.3504508,18.1914869,18.5,0.14,31.3,0.0,-22.2,0.2,5.9,1.1,3000,200,Virgo,0.5,0.45,1.2,110,12,43,in Prep,11.701,0.08,Our survey,NA,NGC4382,178.7,5,7.48,0.23,11.34,0.04,6.15,0.02,-25.19,0.03
NGC4649,E,E2,4.7,0.7,190.9167,11.5526111,16.8,0.5,31.1,0.1,-22.4,0.2,5.5,0.8,4200,400,Virgo,3.49,0.84,4.62,94,25,34,in Prep,11.884,0.08,Our survey,9.68124,NGC4649,385,19,7.12,0.25,11.99,0.06,5.74,0.02,-25.39,0.07
NGC7331,Spiral,Sb,0.5,0.4,339.2667242,34.4155189,15.07,0.71,30.9,0.1,-21.7,0.2,0.9,0.7,210,130,Field,0.33,0.5,0.4,18,4,21,R07,11.4,0.1,Our survey,NA,NGC7331,137.2,3.5,6.22,0.29,11.04,0.04,6.03,0.02,-24.86,0.10
NGC4374,E,E1,3.5,0.5,186.2655971,12.8869831,18.51,0.61,31.3,0.1,-22.1,0.2,4.1,0.6,2800,200,Virgo,3.99,0.59,2.4,83,20,4,In Prep,11.8,0.1,Our survey,9.20412,NGC4374,296,14,5.46,0.18,11.65,0.05,6.22,0.02,-25.12,0.08
NGC891,Spiral,Sb,0.3,0.1,35.6392245,42.3491458,8.36,0.56,29.6,0.1,-20.79,0.2,0.6,0.3,70,20,Field,0.55,0.5,0.3,9,3,25,R10,11,0.08,Our survey,NA,NGC891,73.1,10.2,5.43,0.36,10.43,0.14,5.94,0.02,-23.67,0.15
