Galaxy,Type,N_GC,N_GC_err,M_K,sig_e,R_e,,
NGC7814,Spiral,150,40,-23.531,169.2,2.84,,
NGC147,E,10,2,-17.254,22,0.57,,
NGC185,E,8,1,-17.489,19.9,0.35,,
NGC205,E,11,3,-18.947,31.2,0.66,,
NGC221,E,0,1,-19.327,75,0.13,,
NGC224,Spiral,450,100,-23.467,160,4.66,,
NGC253,Spiral,90,40,-23.979,102.6,3.8,,
NGC474,S0,609,94,-23.805,163.4,4.82,,
NGC524,S0,3300,1000,-24.682,253.5,5.58,,
NGC541,S0,1620,450,-25.041,219.8,12.78,,
NGC584,E,500,200,-24.231,205.9,2.44,,
NGC598,Spiral,50,20,-20.482,37.2,3.22,,
NGC708,E,4700,1000,-24.816,229.8,17.6,,
NGC720,E,660,190,-24.945,241.1,4.84,,
NGC821,E,320,45,-23.984,209,5.64,,
NGC891,Spiral,70,20,-23.692,73.1,5.43,,
NGC910,E,4245,1100,-25.088,249.2,9.26,,
NGC1023,S0,490,30,-24.074,209,2.19,,
NGC1052,E,400,45,-23.992,206.9,3.16,,
NGC1132,E,3613,295,-25.674,246,15.68,,
NGC1172,E,365,25,-22.468,112.4,4.02,,
NGC1201,S0,230,80,-23.86,166.6,2.51,,
NGC1275,E,7800,2500,-26.236,258.9,5.96,,
NGC1316,S0,1000,500,-26.041,227.7,10.19,,
ESO-358-G01,d/Irr,37,15,-20.66,52.9,1.81,,
IC1919,E/S0,21,10,-20.66,52.9,1.81,,
NGC1332,S0,1000,500,-24.76,320.9,2.75,,
NGC1336,E,276,100,-21.562,101.2,2.32,,
ESO-358-G06,S0,37,15,-20.795,45.8,1.2,,
NGC1339,E,231,80,-22.858,161.2,1.46,,
NGC1344,E,280,100,-24.116,166,2.92,,
NGC1351,E,274,90,-23.713,140.2,3.7,,
FCC-136,d/Irr,25,8,-19.675,112.4,2.23,,
NGC1374,E,360,19,-23.309,186.4,2.37,,
NGC1375,S0,86,30,-21.905,66.1,1.65,,
ESO-358-G26,S0,60,20,-22.438,64.4,1.25,,
ESO-358-G25,S0,16,5,-20.684,56.9,1.43,,
NGC1379,E,225,23,-23.276,120.1,2.78,,
NGC1380,S0,424,100,-24.515,218.5,3.39,,
NGC1381,S0,71,25,-22.95,151.2,1.13,,
NGC1380A,S0,70,25,-21.569,54.4,1.46,,
FCC-182,S0,59,20,-19.855,61.6,1.24,,
NGC1387,E/S0,390,27,-24.065,170.2,2.2,,
NGC1380B,S0,156,50,-21.676,78.1,1.63,,
NGC1389,S0,48,16,-22.969,135.1,1.52,,
ESO-358-G43,d/Irr,17,6,-19.778,67,1.26,,
NGC1399,E,6000,700,-25.276,337,9.7,,
NGC1404,E,770,140,-24.735,234.4,2.78,,
NGC1400,S0,2960,958,-24.322,251.5,3.47,,
NGC1407,E,7000,2000,-25.623,270.6,10.38,,
NGC1419,E,155,50,-21.64,120.8,0.85,,
ESO-358-G50,S0,80,25,-21.071,48.2,1.25,,
NGC1427,E,500,60,-23.426,162.1,2.98,,
NGC1426,E,240,20,-23.245,150.5,3,,
ESO-358-G56,d/Irr,17,6,-18.967,48,0.95,,
NGC1439,E,260,30,-23.57,150.2,4.46,,
ESO-358-G59,E,21,7,-21.001,46.7,0.95,,
NGC1460,S0,39,12,-21.542,60.4,1.92,,
ESO-359-G02,E,14,5,-20.176,53.5,1.59,,
IC2006,E,132,40,-23.052,123.7,2.38,,
IC2035,E/S0,55,10,-22.724,106.7,0.65,,
NGC1533,E/S0,250,30,-24.031,185.4,3.15,,
NGC1549,E,140,60,-24.691,202.3,4.76,,
NGC1553,S0,540,160,-25.064,177.2,5.15,,
NGC1600,E,2850,500,-26.073,334.3,14.53,,
NGC1700,E,1320,270,-25.157,238.5,3.97,,
ESO-306-017,E,11577,1046,-26.43,269.9,37.39,,
NGC2329,E/S0,2120,780,-25.246,239.9,8.58,,
NGC2434,E,143,40,-23.873,186.9,2.89,,
UGC-4289,E,2690,740,-25.54,245.2,10.33,,
NGC2683,Spiral,120,40,-23.125,117.5,2.09,,
A754-1,E,16400,4800,-26.531,346,33.24,,
NGC2768,E,720,240,-24.769,181.1,6.8,,
NGC2778,E,50,30,-22.294,175,1.75,,
NGC2832,E,4400,1000,-26.368,334,12.73,,
NGC2865,E,712,108,-24.461,171.6,2.63,,
NGC3056,S0,23,10,-21.824,74.5,0.97,,
NGC3031,Spiral,300,100,-23.949,143,3.41,,
NGC3073,E/S0,130,20,-21.84,34.8,1.66,,
NGC3115,S0,550,80,-24.134,230,1.51,,
NGC3115DW1,d/Irr,60,20,-19.987,29,2.5,,
NGC3156,S0,115,15,-22.214,83.5,1.56,,
CGCG065-015,E,2160,780,-25.698,272.2,2.4,,
NGC3226,E,470,200,-23.298,193.5,3.93,,
IC613,E,1330,440,-25.108,261.9,1.72,,
NGC3258,E,6000,150,-24.254,276.1,4.65,,
NGC3268,E,4750,150,-24.594,223.5,5.71,,
NGC3311,E,16500,2000,-25.156,185.2,18.91,,
NGC3348,E,3100,1000,-25.152,238.4,5.26,,
NGC3377,E,191,15,-22.786,145,1.84,,
NGC3379,E,216,42,-23.782,206,1.79,,
NGC3384,S0,120,30,-23.427,143,1.4,,
NGC3414,S0,400,200,-24.037,236.8,2.54,,
NGC3489,S0,100,50,-23.046,104.5,1.19,,
NGC3557,E,1075,740,-26.132,267.7,7.56,,
NGC3585,E,300,100,-24.952,213,4.27,,
NGC3599,S0,29,10,-22.276,67.3,2.35,,
NGC3607,S0,600,200,-24.519,229,4.18,,
NGC3608,E,450,200,-23.72,182,3.74,,
NGC3610,E,400,150,-24.822,162,2.62,,
IC712,E,3470,910,-25.945,345.3,3,,
NGC3818,E,590,40,-23.946,194.8,4,,
NGC3842,E,12000,3000,-25.812,315,17.38,,
NGC3870,S0,13,5,-19.853,27.6,0.51,,
NGC3923,E,2800,300,-25.33,256.6,6.51,,
NGC4033,E,160,15,-22.939,143.2,1.34,,
NGC4073,E,8300,500,-26.266,277.2,3.38,,
NGC4150,S0,7,4,-21.708,85,1.18,,
NGC4157,Spiral,80,20,-23.586,90.1,2.64,,
NGC4203,E/S0,175,100,-23.499,162.4,1.49,,
NGC4216,Spiral,620,310,-24.506,206.8,2.73,,
NGC4261,E,1242,250,-25.143,315,7.42,,
NGC4262,S0,100,31,-22.597,189.7,0.82,,
NGC4267,S0,179,17,-23.171,164.7,3.18,,
NGC4278,E,1100,300,-23.856,237.2,2.68,,
NGC4291,E,950,170,-23.686,242,2.19,,
VCC-437,S0,42.1,7.9,-19.653,47,2.97,,
VCC-543,S0,18.1,5.5,-19.648,30.5,2.13,,
NGC4318,E,18,6.1,-21.382,95,0.77,,
NGC4340,d/Irr,45,16,-22.707,116.3,2.75,,
NGC4350,S0,196,60,-23.147,180.5,2.05,,
NGC4352,S0,114,12,-21.495,69.8,2,,
NGC4365,E,3246,598,-25.207,256.1,7.83,,
NGC4371,S0,200,41,-23.445,137.1,2.77,,
NGC4374,E,4301,1201,-25.13,296,5.46,,
NGC4377,S0,74,32,-22.42,144.1,0.97,,
NGC4379,S0,50,14,-22.248,115.9,1.18,,
NGC4382,S0,1110,181,-25.128,178.7,7.48,,
NGC4387,E,69.5,9.8,-22.135,105,1.27,,
IC3328,E,43.4,7.9,-19.837,33.6,1.29,,
NGC4406,E,2800,200,-25.071,234.8,12.69,,
VCC-940,d/Irr,61.4,9.5,-19.485,32.4,1.75,,
NGC4417,S0,72,10,-22.86,135.2,1.22,,
NGC4417,S0,72,10,-22.86,135.2,1.22,,
VCC-965,d/Irr,15.4,5.3,-18.397,42,2.09,,
NGC4431,S0,11,5,-20.695,48.4,1.68,,
NGC4434,E,141,34,-22.556,120.2,1.42,,
NGC4435,S0,345,80,-23.821,156.7,2.94,,
NGC4442,S0,178,30,-23.639,186.7,1.74,,
VCC-1073,d/Irr,19.6,6.8,-20.27,44.5,2.04,,
IC3383,E,16.5,5.2,-18.232,33,1.66,,
IC3381,E,66,9.5,-20.069,39.1,2.85,,
NGC4452,S0,52.3,8.5,-21.906,268.8,2.94,,
NGC4458,E,72,12,-21.757,102.7,1.44,,
NGC4459,S0,218,28,-23.886,167,3.09,,
NGC4464,d/Irr,25.3,9.2,-21.421,126.9,0.53,,
NGC4472,E,7000,800,-25.768,293.8,12.65,,
NGC4473,E,376,97,-23.77,190,3.01,,
NGC4474,S0,116,24,-22.261,87.7,2.09,,
NGC4476,S0,20.1,7.3,-21.783,59.8,1.88,,
VCC-1254,d/Irr,26,11,-19.323,31.4,0.93,,
NGC4482,E,35.1,7.6,-20.724,40.3,2.14,,
NGC4478,E,58,11,-22.812,137.4,1.08,,
NGC4479,S0,58.6,9.3,-21.44,83.3,1.94,,
NGC4486B,E,4,11,-20.977,169.2,0.49,,
VCC-1308,d/Irr,8.2,5.1,-18.252,33.6,0.8,,
NGC4486,E,13000,800,-25.348,375,7.3,,
NGC4489,E,31,9,-21.58,53.1,1.3,,
NGC4486A,E,11,12,-22.314,111,0.54,,
NGC4494,E,392,49,-24.17,150.2,4.02,,
IC3461,E,49.7,8.6,-18.717,28.6,0.92,,
IC3468,E,24.9,6,-20.436,34.4,1.51,,
NGC4515,S0,81,10,-21.232,86,0.84,,
IC3487,E/S0,7.3,4.2,-18.834,28.9,0.91,,
NGC4526,S0,388,117,-24.674,251.1,1.96,,
NGC4528,S0,31.4,7.2,-22.04,116.8,0.79,,
NGC4550,S0,84,19,-22.265,96.4,1.42,,
NGC4551,E,47,11,-22.187,106.8,1.24,,
NGC4552,E,1100,200,-24.292,252.5,3.7,,
NGC4565,Spiral,204,60,-25.156,136,7.32,,
NGC4564,E,213,31,-23.078,162,1.78,,
NGC4570,S0,139,23,-23.483,187.9,1.92,,
NGC4589,E,1052,162,-23.962,224.1,4.12,,
NGC4578,S0,62,13,-22.671,120.3,2.46,,
IC3602,E,9.8,6.4,-18.232,27,1.79,,
NGC4594,Spiral,1900,200,-25.006,240,3.41,,
IC3633,E,4.5,3.9,-17.562,22.3,0.6,,
IC3651,S0,2700,780,-23.85,183,1.18,,
IC3653,E,10.4,5,-20.383,49,0.55,,
NGC4612,S0,83,25,-22.537,62.6,2.3,,
NGC4621,E,803,355,-24.125,225.1,4.57,,
NGC4623,S0,71,14,-21.732,85.6,2.16,,
NGC4638,S0,59.8,9.2,-23.003,121.9,1.71,,
NGC4636,E,4200,120,-24.419,203.1,6.71,,
NGC4649,E,4000,500,-25.434,385,7.12,,
NGC4660,E,205,28,-22.682,188.5,1.07,,
