Vmag Rad      v v_err ngc
20.73 7.00 -61.0 5.0 N
21.74 5.93 959.0 23.7 Y
21.41 8.89 -58.0 8.0 N
21.52 10.24 -68.3 14.2 N
20.43 13.35 15.3 14.1 N
21.80 6.46 130.4 25.4 N
20.45 10.33 76.1 33.6 N
21.15 7.84 49.5 43.4 N
21.27 12.85 -122.8 36.6 N
21.72 11.98 286.0 21.2 N
21.41 7.32 16.0 10.0 N
20.15 13.30 -87.5 20.6 N
19.92 13.71 1160.3 10.9 Y
20.75 12.12 205.2 19.8 N
21.56 20.62 -73.4 13.2 N
21.05 9.55 801.4 9.9 Y
22.20 17.63 -0.6 29.0 N
19.71 8.87 129.0 4.0 N
20.18 14.33 -21.7 12.2 N
19.21 11.60 14.5 6.4 N
19.12 9.48 -35.9 8.8 N
20.84 16.58 182.4 14.8 N
22.50 10.04 -85.0 22.1 N
19.81 10.45 223.0 14.8 N
19.66 15.51 43.6 17.5 N
19.70 18.58 166.0 19.4 N
19.15 13.43 27.0 2.0 N
21.63 18.22 -20.9 36.9 N
21.18 10.91 157.6 32.4 N
21.91 11.80 90.5 27.2 N
21.38 11.69 53.2 21.9 N
20.97 19.40 225.3 19.9 N
21.77 12.91 688.2 15.8 Y
21.89 19.77 -11.5 30.9 N
21.12 12.43 14.2 15.3 N
20.38 19.53 134.9 8.8 N
19.66 12.39 43.2 10.5 N
20.28 16.78 139.4 17.6 N
20.19 13.23 226.8 11.0 N
21.43 13.25 512.6 18.5 N
21.42 13.26 101.7 11.9 N
20.63 15.99 152.4 20.2 N
21.69 13.35 777.1 20.4 Y
20.47 16.80 -34.8 32.5 N
21.33 20.47 -101.2 21.5 N
20.80 19.84 -143.3 15.0 N
20.44 13.66 86.0 7.0 N
19.29 19.75 120.4 10.2 N
20.92 17.83 220.7 17.1 N
21.34 15.60 885.8 18.8 Y
20.53 15.58 71.2 12.8 N
21.79 15.89 56.1 24.0 N
21.52 19.43 910.7 16.7 Y
20.36 15.33 108.7 9.2 N
22.43 17.64 184.3 48.9 N
22.40 20.52 187.2 33.2 N
20.11 20.37 111.6 7.4 N
21.09 14.28 964.0 10.0 Y
20.03 12.28 89.0 5.0 N
20.55 13.68 -79.7 10.7 N
21.91 14.63 -22.2 14.0 N
20.20 13.47 138.0 4.0 N
20.00 11.35 158.0 7.0 N
20.18 19.03 282.1 9.9 N
