Vmag oldnum newnum compl
18.75 0 0 1
19.05 1.034 1.034 1
19.35 0.543 0.543 1 
19.65 1.455 1.455 1
19.95 4.601 4.601 1
20.25 6.747 6.76104 0.997923
20.55 3.745 3.76837 0.993798 
20.85 6.162 6.22939 0.989183 
21.15 13.598 13.8001 0.985353 
21.45 9.05 9.43669 0.959022
21.75 16.158 17.2437 0.93704
22.05 13.121 14.7444 0.889898 
22.35 23.047 27.9801 0.823692
22.65 14.66 21.3268 0.687398
22.95 12.365 26.8911 0.459817
23.25 2.471 10.2535 0.240991
23.55 0.327 3.0563 0.106992
23.85 0 0 0.0402432
24.15 0 0 0.00227016
24.45 0 0 0
24.75 0 0 0
25.05 0 0 0
25.35 0 0 0
25.65 0 0 0
25.95 0 0 0
26.25 0 0 0
26.55 0 0 0
26.85 0 0 0
27.15 0 0 0
27.45 0 0 0
27.75 0 0 0
28.05 0 0 0
28.35 0 0 0
28.65 0 0 0
28.95 0 0 0
