"V","galcen_ratio"
20.756,1.09614
19.303,1.08063
23.185,1.10754
19.076,1.01557
21.043,1.04755
23.08,1.03474
21.676,1.00358
23.159,1.02202
21.622,1.11358
23.799,1.26484
20.08,1.34707
20.218,1.32731
21.681,1.28706
23.422,1.33501
19.992,1.09432
23.147,1.11439
22.968,1.09302
23.282,1.19998
21.99,1.20302
19.559,1.02791
19.889,1.13485
22.051,1.02461
22.62,1.11277
19.343,1.26417
22.095,1.05253
21.817,1.17343
22.676,1.22434
22.097,1.17294
19.654,1.02758
23.515,1.22804
19.973,0.99967
23.322,1.03011
20.618,1.16951
20.871,1.06363
23.582,1.19375
21.467,1.02432
21.42,1.1583
22.073,1.04263
23.154,1.13129
20.296,1.01796
22.759,1.11324
23.367,1.04494
21.06,1.12777
21.695,1.1344
23.377,1.05037
21.535,1.04069
21.249,1.0639
19.086,1.09972
22.308,1.06517
19.467,1.08897
19.178,1.08636
19.649,1.03638
20.29,1.08638
19.676,1.06084
24.041,1.01412
21.912,1.04888
22.146,0.995934
19.782,0.998738
22.886,0.990833
22.773,1.01168
21.841,1.02323
19.136,1.0029
22.401,1.00131
23.644,1.01603
21.768,1.05846
19.837,1.02307
22.302,1.01092
19.428,1.05547
23.472,1.08161
23.564,1.11167
22.573,1.09489
23.557,0.995127
22.202,1.09378
22.12,1.06431
21.532,1.02069
23.276,1.08681
22.937,1.13051
19.866,1.01187
22.033,0.990882
23.768,1.04879
22.368,1.04987
22.617,1.04642
23.137,1.08398
23.729,1.11749
19.885,0.996478
20.581,1.01838
23.126,1.17417
21.25,1.1354
23.304,1.17736
22.275,1.05799
23.469,1.06733
23.05,1.05928
22.091,1.16936
23.731,1.12298
21.883,1.1658
18.977,1.10801
22.617,1.15889
19.255,1.089
22.49,1.08739
23.742,1.13533
22.752,1.00073
19.968,1.18017
23.362,1.14397
22.012,0.991833
19.707,1.04235
20.976,1.15078
23.924,1.21804
21.504,1.16654
19.222,1.04772
22.379,1.00001
23.375,1.03784
22.248,1.11745
22.716,1.07328
19.593,1.05903
22.68,1.16776
21.108,1.18967
21.892,1.10118
22.198,1.22165
23.533,1.15945
21.74,1.2251
22.421,1.23697
23.058,1.1123
20.251,1.10609
22.889,1.2805
20.794,1.26193
23,1.05002
22.009,1.21676
22.914,0.995695
