_RAJ2000	_DEJ2000	r_Name	Name	Vmag	B-V	B-R	Rad	HRV	e_HRV
190.17133	-11.51389	RZ 	1003	19.09	 0.92	 1.53	12.13	   63.0	 20.0
190.17112	-11.90330	RZ 	1005	19.65	 0.79	 1.32	19.66	   63.0	 28.0
190.30521	-11.80401	RZ 	 102	21.62	 0.56	 0.98	21.08	  296.3	 11.1
190.16762	-11.32327	RZ 	1030	20.29	 0.63	 1.06	20.58	  178.0	 47.0
190.16637	-11.43319	RZ 	1039	20.49	 0.71	 1.18	15.11	  278.7	  6.8
190.16592	-11.61532	RZ 	1045	19.67	 0.76	 1.24	 9.90	 1025.5	 26.9
190.16387	-11.68800	RZ 	1059	19.29	 1.07	 1.76	10.52	   62.0	 30.0
190.16379	-11.86889	RZ 	1060	19.83	 1.07	 1.77	17.69	  -15.0	 36.0
190.16375	-11.75302	RZ 	1061	20.70	 0.65	 1.09	12.49	  259.3	 10.9
190.16250	-11.91721	RZ 	1070	19.68	 0.73	 1.21	20.13	 1005.9	 31.6
190.15612	-11.78921	RZ 	1131	20.64	 0.61	 1.03	13.64	  296.5	  7.8
190.15517	-11.89399	RZ 	1141	21.25	 0.74	 1.23	18.70	   84.1	 39.9
190.15500	-11.51642	RZ 	1145	20.65	 0.55	 0.95	11.25	  274.9	  5.4
190.15475	-11.39576	RZ 	1149	21.19	 0.93	 1.53	16.47	   96.0	 45.0
190.15467	-11.76699	RZ 	1150	19.29	 0.74	 1.18	12.64	 1046.2	  6.2
190.15433	-11.49083	RZ 	1154	19.44	 0.66	 1.18	12.16	  775.9	 11.2
190.15387	-11.68821	RZ 	1157	23.58	 0.65	 1.10	 9.98	 1581.0	 49.0
190.15321	-11.50717	RZ 	1164	20.46	 0.56	 0.98	11.49	  773.3	157.2
190.15308	-11.71856	RZ 	1167	19.38	 0.56	 0.94	10.78	   44.0	 45.0
190.15146	-11.68280	RZ 	1191	20.37	 0.73	 1.22	 9.72	 1264.0	  8.0
190.15142	-11.65937	RZ 	1192	21.20	 0.63	 1.05	 9.30	 1202.0	 10.0
190.30275	-11.32955	RZ 	 120	20.22	 0.88	 1.51	25.15	  227.6	 12.9
190.15012	-11.63865	RZ 	1210	22.66	 0.61	 1.09	 9.01	 1191.0	117.0
190.14737	-11.69349	RZ 	1233	21.41	 0.92	 1.50	 9.76	 1230.7	 52.5
190.14542	-11.47953	RZ 	1253	20.02	 0.63	 1.13	12.23	  916.0	 28.8
190.14483	-11.63617	RZ 	1255	19.81	 0.73	 1.24	 8.69	  850.4	  7.8
190.14475	-11.83850	RZ 	1256	20.28	 0.97	 1.60	15.55	  102.0	 46.0
190.14150	-11.65981	RZ 	1278	19.13	 0.95	 1.56	 8.74	  167.0	 30.0
190.14100	-11.75572	RZ 	1288	20.45	 0.74	 1.25	11.59	 1142.0	 11.9
190.14092	-11.60536	RZ 	1290	22.35	 0.57	 0.97	 8.49	 3844.0	 57.0
190.13833	-11.67773	RZ 	1308	23.55	 0.81	 1.41	 8.90	 1146.0	 26.0
190.13771	-11.61676	RZ 	1312	22.26	 0.60	 1.09	 8.24	 1118.0	 96.0
190.30092	-11.79916	RZ 	 136	19.99	 0.93	 1.59	20.71	   57.0	 30.0
190.13075	-11.54018	RZ 	1370	20.65	 0.80	 1.31	 9.27	 1178.8	 14.3
190.13033	-11.38952	RZ 	1375	21.01	 0.80	 1.31	16.04	  158.7	 10.4
190.12737	-11.84101	RZ 	1401	21.95	 0.65	 1.05	15.14	  268.5	  8.9
190.12642	-11.60776	RZ 	1405	22.05	 0.59	 1.02	 7.63	 1147.0	 46.0
190.12425	-11.81672	RZ 	1428	19.67	 0.63	 1.09	13.80	 1056.3	 42.2
190.12429	-11.33319	RZ 	1429	19.78	 0.63	 1.05	18.92	  228.0	 33.0
190.12425	-11.56110	RZ 	1430	20.19	 0.69	 1.16	 8.32	 1171.3	 43.8
190.12050	-11.44778	RZ 	1464	20.76	 0.52	 0.85	12.76	  307.0	 92.0
190.11979	-11.61623	RZ 	1470	23.08	 0.75	 1.14	 7.19	 1147.0	 46.0
190.11554	-11.60620	RZ 	1506	19.04	 0.90	 1.49	 7.00	  -95.0	  8.0
190.11408	-11.83601	RZ 	1519	20.53	 0.67	 1.05	14.49	  -53.1	 25.6
190.11342	-11.66517	RZ 	1532	20.91	 0.59	 1.01	 7.26	  448.0	  8.0
190.11337	-11.67501	RZ 	1533	21.33	 0.56	 1.00	 7.48	 1254.0	  9.0
190.11325	-11.47378	RZ 	1534	20.68	 0.84	 1.45	11.25	 1049.9	 10.2
190.11042	-11.50725	RZ 	1564	20.64	 0.73	 1.25	 9.61	  917.8	 12.7
190.10992	-11.65734	RZ 	1567	21.09	 0.64	 1.09	 6.91	 1068.0	  8.0
190.10942	-11.39885	RZ 	1571	21.36	 0.62	 1.11	14.97	 1100.3	  9.3
190.10871	-11.56578	RZ 	1577	19.86	 0.56	 0.95	 7.38	  296.0	 40.0
190.10767	-11.67193	RZ 	1591	21.87	 0.84	 1.42	 7.10	 1060.0	 12.0
