"V","BR","90percent","galcen_radius","galcen_ratio"
23.495,1.488,0,16.8236,1.26493
23.386,0.882,0,17.3105,1.30154
22.925,1.136,0,16.7719,1.26105
23.15,1.709,0,24.0947,1.81163
21.15,1.049,0,17.0664,1.28319
21.958,1.442,0,16.7525,1.25958
22.945,1.143,0,17.8698,1.34359
23.072,1.049,0,18.1785,1.36681
22.42,1.632,0,18.581,1.39707
20.967,1.019,0,19.6615,1.47831
23.079,0.912,0,19.261,1.4482
22.955,1.187,0,17.9492,1.34957
23.381,1.29,0,18.721,1.40759
21.655,1.042,0,17.3168,1.30201
21.38,1.035,0,21.6452,1.62746
21.584,1.605,0,16.6662,1.25309
22.271,1.384,0,17.4943,1.31536
21.61,1.08,0,16.5703,1.24588
23.464,1.221,0,17.458,1.31263
21.129,1.149,0,18.3504,1.37973
21.124,1.636,0,17.7376,1.33365
22.672,1.672,0,18.4074,1.38402
21.335,1.057,0,21.5104,1.61732
22.787,1.116,0,17.0326,1.28065
22.069,1.388,0,17.4594,1.31274
23.392,0.959,0,19.089,1.43526
23,1.028,0,23.6322,1.77685
23.174,1.057,0,17.1572,1.29002
23.144,1.071,0,16.7985,1.26305
23.414,0.865,0,16.1073,1.21107
22.45,1.059,0,16.3867,1.23208
22.273,1.629,0,22.9222,1.72347
22.898,1.136,0,16.0626,1.20771
23.078,1.321,0,20.8353,1.56657
23.042,1.594,0,23.1313,1.73919
23.223,0.95,0,19.7185,1.48259
20.992,1.053,0,23.3696,1.75712
22.745,1.691,0,17.0776,1.28403
22.783,1.663,0,18.0841,1.35971
22.447,1.567,0,19.8154,1.48988
21.166,0.945,0,22.4332,1.68671
23.449,1.529,0,23.5884,1.77357
23.067,1.46,0,19.3876,1.45771
23.19,1.393,0,18.9015,1.42117
21.214,1.159,0,15.8081,1.18858
23.161,0.901,0,19.5101,1.46692
23.205,1.342,0,22.0836,1.66042
22.194,1.052,0,15.6336,1.17546
23.132,0.95,0,15.5821,1.17159
22.935,1.292,0,19.417,1.45993
22.487,1.678,0,18.5886,1.39764
21.626,1.071,0,19.366,1.45609
22.799,1.082,0,16.1375,1.21334
22.73,1.456,0,17.1627,1.29043
23.251,1.528,0,20.9026,1.57163
21.951,1.364,0,18.9429,1.42428
23.403,0.983,0,15.3875,1.15695
22.652,1.319,0,18.3967,1.38321
21.787,1.106,0,17.3479,1.30435
20.997,1.107,0,23.6657,1.77938
23.309,1.247,0,17.6269,1.32533
23.24,1.667,0,18.9949,1.42818
23.318,1.253,0,16.0534,1.20702
21.371,1.552,0,18.339,1.37888
21.131,1.124,0,18.6184,1.39988
23.002,1.033,0,16.7978,1.26299
23.261,1.246,0,16.8943,1.27024
21.897,1.112,0,14.7627,1.10998
22.51,1.361,0,19.3663,1.45612
21.879,1.175,0,16.3771,1.23136
22.898,1.16,0,14.9534,1.12432
21.557,0.975,0,14.7151,1.1064
22.889,1.485,0,22.7526,1.71072
23.206,1.469,0,16.6867,1.25464
23.243,1.557,0,17.3786,1.30666
23.271,1.611,0,22.6472,1.7028
21.523,0.956,0,18.8943,1.42062
22.351,1.142,0,14.8298,1.11503
22.93,1.197,0,22.1798,1.66765
22.286,1.189,0,14.2559,1.07187
22.902,1.176,0,16.9831,1.27693
22.977,1.433,0,16.1263,1.21251
22.554,1.116,0,16.6306,1.25042
21.349,1.595,0,14.0558,1.05683
22.326,0.972,0,13.7753,1.03574
22.786,1.248,0,13.7996,1.03757
23.118,1.312,0,13.8592,1.04205
22.147,1.608,0,16.475,1.23872
22.929,1.554,0,19.4111,1.45948
22.159,1.326,0,13.9393,1.04807
22.32,1.314,0,16.3354,1.22822
21.565,1.258,0,13.6042,1.02287
22.944,1.237,0,17.6908,1.33013
21.837,0.93,0,14.2443,1.071
23.228,1.282,0,13.5094,1.01574
22.242,0.985,0,19.1068,1.4366
22.709,1.02,0,18.3782,1.38182
23.233,1.499,0,14.8093,1.11348
23.203,0.972,0,19.389,1.45782
23.196,1.077,0,13.8278,1.03968
22.163,1.106,0,14.9633,1.12506
22.936,1.532,0,13.8792,1.04355
22.514,1.005,0,13.3867,1.00652
22.519,1.062,0,19.8099,1.48946
22.806,1.623,0,14.0967,1.0599
23.144,1.038,0,13.3244,1.00183
22.58,1.101,0,20.8048,1.56427
23.285,1.259,0,19.2817,1.44975
21.433,1.396,0,22.8414,1.7174
22.939,1.147,0,13.1341,0.987526
22.083,0.97,0,18.4111,1.38429
21.651,0.922,0,13.1379,0.987809
21.476,1.233,0,19.5932,1.47317
23.399,0.804,0,18.9,1.42105
23.196,1.291,0,22.0839,1.66044
22.206,1.214,0,15.8319,1.19037
21.085,1.067,0,16.0887,1.20968
21.805,1.133,0,14.5762,1.09595
22.869,1.145,0,13.1026,0.985161
23.12,1.163,0,12.673,0.952854
20.996,1.297,0,13.3888,1.00667
23.286,1.244,0,14.5396,1.09321
23.25,1.349,0,20.243,1.52203
23.252,1.373,0,12.8766,0.968165
21.662,1.588,0,18.2567,1.37268
22.825,1.202,0,13.3721,1.00542
23.458,1.339,0,21.1798,1.59246
21.894,1.317,0,14.2949,1.0748
23.098,1.233,0,13.7692,1.03528
22.863,1.629,0,16.4178,1.23442
22.226,1.185,0,13.5009,1.01511
20.955,1.135,0,12.4678,0.937428
22.768,1.593,0,19.0382,1.43145
23.274,1.05,0,14.7275,1.10733
21.236,1.365,0,18.9901,1.42783
22.038,1.332,0,13.8768,1.04337
22.82,1.27,0,12.4714,0.937702
21.598,1.136,1,12.3114,0.92567
22.186,1.152,0,18.5257,1.39291
21.955,0.949,1,11.913,0.895713
23.466,1.222,0,12.0924,0.909203
22.946,1.59,0,14.9837,1.1266
23.32,1.52,0,16.5205,1.24215
22.944,1.28,0,11.8467,0.89073
23.301,1.22,0,12.6105,0.948155
23.292,1.128,0,12.5497,0.943585
21.964,1.077,0,17.612,1.32421
23.289,1.197,0,16.7962,1.26287
22.913,1.507,0,21.0315,1.58132
22.961,1.13,0,12.2478,0.920886
23.32,1.181,0,11.7641,0.884515
22.205,0.995,0,20.3918,1.53322
21.356,0.938,0,17.014,1.27925
23.372,0.846,0,19.5492,1.46987
22.52,1.131,0,15.4548,1.16201
23.042,1.722,0,15.1209,1.13691
21.81,1.102,0,20.4245,1.53568
22.487,1.339,0,15.4953,1.16506
21.45,1.452,1,12.2134,0.918297
23.327,1.619,0,21.7925,1.63854
22.517,1.134,1,10.8541,0.8161
21.84,1.33,1,10.8448,0.815397
21.924,1.268,0,17.4307,1.31058
21.608,1.076,1,12.1545,0.91387
22.722,1.049,0,12.8573,0.966715
22.624,1.079,0,13.0919,0.984355
23.168,1.33,0,11.0938,0.834118
23.28,1.584,0,15.5423,1.1686
22.522,1.393,0,12.5863,0.946341
23.371,1.372,0,10.7995,0.811996
23.11,1.04,0,16.9568,1.27495
21.307,1.329,1,12.0649,0.907138
22.94,1.143,0,10.4967,0.789222
21.316,1.157,0,19.1429,1.43932
22.704,1.06,1,10.4639,0.786761
23.218,1.114,0,17.0277,1.28028
22.099,1.41,1,10.3669,0.779468
23.054,0.878,0,13.0715,0.982817
21.44,1.079,1,12.2835,0.923574
22.668,0.869,1,11.3929,0.856606
22.805,1.021,0,14.899,1.12023
21.609,1.621,1,10.3626,0.779144
22.342,1.497,1,10.2734,0.772435
23.325,1.045,0,19.9161,1.49745
23.284,0.891,0,20.2961,1.52602
22.315,1.518,0,19.0806,1.43463
22.766,1.04,0,18.8485,1.41718
22.787,1.039,0,10.2963,0.774158
22.386,1.051,0,17.0936,1.28523
22.979,1.732,1,10.6542,0.801069
22.507,1.1,0,12.9691,0.975118
21.011,1.257,1,11.6048,0.872539
23.489,1.153,0,12.4941,0.939404
21.823,1.155,1,11.9713,0.900097
22.362,1.431,0,13.6592,1.02701
23.003,1.091,0,11.4948,0.864274
21.037,1.548,1,11.2892,0.848815
22.588,1.276,0,12.4404,0.93537
22.414,1.381,1,11.4252,0.85904
22.448,1.137,0,16.0566,1.20726
21.442,1.302,0,20.7222,1.55806
21.978,1.689,1,9.48666,0.713283
23.225,1.23,0,10.3735,0.779959
21.979,1.016,0,14.3454,1.0786
22.442,0.951,0,20.9331,1.57391
21.768,1.501,1,10.2093,0.76762
22.549,1.301,1,9.51508,0.71542
21.095,1.159,0,14.4157,1.08389
23.323,0.791,0,11.9436,0.898018
22.002,1.03,0,13.4029,1.00774
23.336,1.414,0,9.08527,0.683103
23.153,1.253,0,11.2659,0.847059
22.957,0.995,0,10.1047,0.759755
23.459,1.788,0,13.8935,1.04462
23.218,1.449,0,9.20924,0.692424
23.058,1.223,0,10.3397,0.777422
21.756,1.464,1,10.989,0.826243
21.003,1.201,1,11.5774,0.870478
22.923,1.611,1,8.75084,0.657958
22.597,1.306,0,16.2157,1.21922
23.211,1.06,0,9.83098,0.739171
22.68,1.402,1,12.0691,0.907449
