Vmag  oldnum    num    compl
17.00    0.000    0.000  1.00
17.40    0.000    0.000  1.00
17.80    0.000    0.000  1.00
18.20    0.000    0.000  1.00
18.60    0.000    0.000  1.00
19.00    0.914    0.914  1.00
19.40    0.000    0.000  1.00
19.80    0.000    0.000  1.00
20.20    0.914    0.914  1.00
20.60    0.000    0.000  1.00
21.00   10.344   10.344  1.00
21.40   25.253   25.287  1.00
21.80   33.415   33.579  1.00
22.20   55.459   57.341  0.97
22.60   88.764   93.475  0.95
23.00  109.121  126.994  0.86
23.40   84.206  120.596  0.70
23.80    0.000    0.000  0.28
24.20    0.000    0.000  0.02
24.60    0.000    0.000  0.00
25.00    0.000    0.000  0.00
25.40    0.000    0.000  0.01
25.80    0.000    0.000  0.00
26.20    0.000    0.000  0.00
26.60    0.000    0.000  0.00
