"bx","by","V","BV","VR","BR","galaxy_name","host_galaxy_group_type","host_galaxy_mass","galcen_radius","90percent"
3592.83,266.84,20.917,0.756,0.496,1.252,"NGC891","Spiral",11,8.35017,1
2981.25,356.31,21.165,0.618,0.405,1.023,"NGC891","Spiral",11,7.40856,1
2677.24,487.92,23.125,0.765,0.571,1.336,"NGC891","Spiral",11,6.81807,0
225.34,590.34,20.803,0.906,0.577,1.483,"NGC891","Spiral",11,6.68022,1
825.59,683.04,21.402,0.586,0.38,0.966,"NGC891","Spiral",11,5.97596,1
275.33,684.8,20.863,0.851,0.581,1.432,"NGC891","Spiral",11,6.42997,1
3635.81,1052.14,22.605,0.522,0.414,0.936,"NGC891","Spiral",11,7.02014,0
2357.61,1170.02,20.975,0.718,0.429,1.147,"NGC891","Spiral",11,5.05317,1
2610.75,1246.58,20.707,0.893,0.555,1.448,"NGC891","Spiral",11,5.16366,1
1443.14,1277.76,23.223,0.923,0.597,1.52,"NGC891","Spiral",11,4.37697,0
3342.83,1759.01,23.321,0.938,0.486,1.424,"NGC891","Spiral",11,5.41743,0
3960.49,1770.31,21.336,0.893,0.578,1.471,"NGC891","Spiral",11,6.6194,1
2438.8,1917.4,23.456,0.727,0.402,1.129,"NGC891","Spiral",11,3.63257,0
194.28,1960.39,21.373,0.74,0.551,1.291,"NGC891","Spiral",11,4.11633,1
3651.31,2010.9,21.165,0.893,0.634,1.527,"NGC891","Spiral",11,5.71382,1
3128.89,2154.47,21.115,0.939,0.619,1.558,"NGC891","Spiral",11,4.48213,1
3520.5,2310.86,20.856,0.606,0.481,1.087,"NGC891","Spiral",11,5.13773,1
287.38,2390.03,21.001,0.655,0.546,1.201,"NGC891","Spiral",11,3.33069,1
2676.69,2461.88,20.865,0.972,0.628,1.6,"NGC891","Spiral",11,3.20335,1
1096.16,2634.38,22.07,0.751,0.583,1.334,"NGC891","Spiral",11,1.51424,1
1025.32,2701.78,21.618,0.811,0.59,1.401,"NGC891","Spiral",11,1.50848,1
2164.51,2825.96,23.563,0.644,0.448,1.092,"NGC891","Spiral",11,1.743,0
1711.05,2927.5,19.259,1.113,0.752,1.865,"NGC891","Spiral",11,0.722675,1
2342.92,2940.67,22.515,0.941,0.551,1.492,"NGC891","Spiral",11,2.04896,0
560.51,2975.38,23.088,0.913,0.609,1.522,"NGC891","Spiral",11,2.21885,0
333.46,2993.79,21.974,0.719,0.563,1.282,"NGC891","Spiral",11,2.73783,1
417.75,2993.85,21.791,1.066,0.796,1.862,"NGC891","Spiral",11,2.54217,1
3653.42,2997.57,21.781,0.71,0.419,1.129,"NGC891","Spiral",11,5.07356,1
663.46,3042.71,22.56,0.973,0.698,1.671,"NGC891","Spiral",11,1.95663,0
3522.69,3255.48,20.716,0.668,0.52,1.188,"NGC891","Spiral",11,4.76223,1
2613.83,3288.53,22.914,0.753,0.569,1.322,"NGC891","Spiral",11,2.6477,0
3560.48,3314.83,22.768,0.804,0.47,1.274,"NGC891","Spiral",11,4.85994,0
694.67,3370.51,22.198,0.826,0.542,1.368,"NGC891","Spiral",11,1.94238,1
1224.65,3438.01,22.62,0.627,0.482,1.109,"NGC891","Spiral",11,0.930194,0
18.72,3473.93,22.135,0.672,0.425,1.097,"NGC891","Spiral",11,3.53757,0
2808.17,3522.6,21.33,0.88,0.596,1.476,"NGC891","Spiral",11,3.20564,1
2840.78,3595.85,22.543,0.56,0.382,0.942,"NGC891","Spiral",11,3.32943,0
1560.86,3621.21,23.563,0.928,0.542,1.47,"NGC891","Spiral",11,1.12691,0
3933.39,3624.02,21.732,0.952,0.602,1.554,"NGC891","Spiral",11,5.82582,1
1241.95,3708.61,21.355,0.847,0.603,1.45,"NGC891","Spiral",11,1.44527,1
2322.74,3829.41,22.454,0.806,0.475,1.281,"NGC891","Spiral",11,2.51974,0
433.82,3977.81,23.41,0.948,0.656,1.604,"NGC891","Spiral",11,3.15632,0
