bx,by,V,BV,VR,BR,galaxy_name,host_galaxy_group_type,host_galaxy_mass,galcen_radius
"3,592.83",266.84,20.917,0.756,0.496,1.252,NGC 891,Spiral,11,8.35017
"2,981.25",356.31,21.165,0.618,0.405,1.023,NGC 891,Spiral,11,7.40856
225.34,590.34,20.803,0.906,0.577,1.483,NGC 891,Spiral,11,6.68022
825.59,683.04,21.402,0.586,0.38,0.966,NGC 891,Spiral,11,5.97596
275.33,684.8,20.863,0.851,0.581,1.432,NGC 891,Spiral,11,6.42997
"2,357.61","1,170.02",20.975,0.718,0.429,1.147,NGC 891,Spiral,11,5.05317
"2,610.75","1,246.58",20.707,0.893,0.555,1.448,NGC 891,Spiral,11,5.16366
"3,960.49","1,770.31",21.336,0.893,0.578,1.471,NGC 891,Spiral,11,6.6194
194.28,"1,960.39",21.373,0.74,0.551,1.291,NGC 891,Spiral,11,4.11633
"3,651.31","2,010.9",21.165,0.893,0.634,1.527,NGC 891,Spiral,11,5.71382
"3,128.89","2,154.47",21.115,0.939,0.619,1.558,NGC 891,Spiral,11,4.48213
"3,520.5","2,310.86",20.856,0.606,0.481,1.087,NGC 891,Spiral,11,5.13773
287.38,"2,390.03",21.001,0.655,0.546,1.201,NGC 891,Spiral,11,3.33069
"2,676.69","2,461.88",20.865,0.972,0.628,1.6,NGC 891,Spiral,11,3.20335
"1,096.16","2,634.38",22.07,0.751,0.583,1.334,NGC 891,Spiral,11,1.51424
"1,025.32","2,701.78",21.618,0.811,0.59,1.401,NGC 891,Spiral,11,1.50848
"1,711.05","2,927.5",19.259,1.113,0.752,1.865,NGC 891,Spiral,11,0.722675
333.46,"2,993.79",21.974,0.719,0.563,1.282,NGC 891,Spiral,11,2.73783
417.75,"2,993.85",21.791,1.066,0.796,1.862,NGC 891,Spiral,11,2.54217
"3,653.42","2,997.57",21.781,0.71,0.419,1.129,NGC 891,Spiral,11,5.07356
"3,522.69","3,255.48",20.716,0.668,0.52,1.188,NGC 891,Spiral,11,4.76223
694.67,"3,370.51",22.198,0.826,0.542,1.368,NGC 891,Spiral,11,1.94238
"2,808.17","3,522.6",21.33,0.88,0.596,1.476,NGC 891,Spiral,11,3.20564
"3,933.39","3,624.02",21.732,0.952,0.602,1.554,NGC 891,Spiral,11,5.82582
"1,241.95","3,708.61",21.355,0.847,0.603,1.45,NGC 891,Spiral,11,1.44527
"1,045.89","4,010.27",21.726,0.824,0.516,1.34,NGC 891,Spiral,11,2.28179
"1,246.19",40.85,22.709,0.651,0.417,1.068,NGC 7814,Spiral,10.9,6.69907
276.3,180.95,22.633,0.755,0.476,1.231,NGC 7814,Spiral,10.9,5.16784
"1,504.42",717.94,22.455,0.618,0.347,0.965,NGC 7814,Spiral,10.9,5.63891
"1,095.79",993.64,22.584,0.823,0.458,1.281,NGC 7814,Spiral,10.9,4.02234
"1,491.45","1,198.38",22.335,0.944,0.538,1.482,NGC 7814,Spiral,10.9,4.81885
"1,224.47","1,271.46",23.287,0.92,0.66,1.58,NGC 7814,Spiral,10.9,3.91754
779.67,"1,279.76",22.76,0.676,0.337,1.013,NGC 7814,Spiral,10.9,2.62722
391.36,"1,291.04",22.012,0.627,0.454,1.081,NGC 7814,Spiral,10.9,1.72514
315.34,"1,351.73",22.903,0.885,0.435,1.32,NGC 7814,Spiral,10.9,1.43262
275.15,"1,383.58",23.125,0.686,0.569,1.255,NGC 7814,Spiral,10.9,1.28391
772.52,"1,440.62",22.347,0.816,0.431,1.247,NGC 7814,Spiral,10.9,2.33646
192.62,"1,453.48",20.433,0.66,0.376,1.036,NGC 7814,Spiral,10.9,0.983972
440.4,"1,539.39",21.7,0.594,0.39,0.984,NGC 7814,Spiral,10.9,1.22512
334.06,"1,557.16",22.497,0.774,0.469,1.243,NGC 7814,Spiral,10.9,0.913887
913.62,"1,636.57",22.42,0.719,0.555,1.274,NGC 7814,Spiral,10.9,2.59723
713.37,"1,714.44",22.978,0.741,0.551,1.292,NGC 7814,Spiral,10.9,1.91752
413.72,"1,724.66",22.144,1.033,0.517,1.55,NGC 7814,Spiral,10.9,0.933872
584.49,"1,779.88",21.731,0.749,0.43,1.179,NGC 7814,Spiral,10.9,1.49562
826.83,"1,869.73",22.829,0.831,0.509,1.34,NGC 7814,Spiral,10.9,2.32242
509.94,"1,966.96",22.235,0.884,0.578,1.462,NGC 7814,Spiral,10.9,1.44224
"1,980.86",192.02,20.239,0.945,0.601,1.546,NGC 7457,S0,10.6,6.78174
"2,452.45",380.6,20.089,0.817,0.541,1.358,NGC 7457,S0,10.6,6.44946
"3,843.93",576.83,22.924,0.966,0.644,1.61,NGC 7457,S0,10.6,7.37321
"1,121.87",599.35,21.967,0.901,0.605,1.506,NGC 7457,S0,10.6,6.13782
