#name/id         bx       by    am_b    b_i   err   vx       vy     am_v    v_i   err    rx      ry      am_r    r_i   err      V    B-V   V-R
#----------------------------------------------------------------------------------------------------------------------------------------------
1             3536.05   14.14 1.399  -1.544 0.091 3536.14   13.73 1.202   -2.44 0.095 3536.27   13.62 1.293  -2.846 0.108  23.695  0.893  0.155
2             6454.32   14.95 1.399  -4.889 0.005 6454.58   14.45 1.202  -5.278 0.007 6454.39   14.59 1.293  -5.894 0.007  20.858  0.314  0.342
3             2938.55   16.27 1.399  -4.559 0.007 2938.71   16.30 1.202  -5.918 0.004 2938.46   16.27 1.293  -7.291 0.002  20.216  1.422  1.014
4             3187.58   16.57 1.399  -1.502 0.098 3188.14   16.31 1.202  -2.051 0.126 3187.05   16.77 1.293  -2.453 0.144  24.085  0.497  0.152
5             7459.41   17.40 1.399  -6.389 0.002 7459.54   17.17 1.202  -6.952 0.002 7459.29   17.36 1.293  -7.659 0.002  19.184  0.513  0.422
6             6715.30   18.20 1.399  -2.071 0.057 6715.36   18.02 1.202  -3.444 0.034 6715.25   18.17 1.293  -4.949 0.016  22.690  1.438  1.131
7             1419.52   18.94 1.399  -1.449 0.099 1419.61   19.07 1.202  -1.979 0.130 1419.13   19.30 1.293  -3.062 0.087  24.157  0.475  0.756
8             3326.42   20.43 1.399  -1.344 0.115 3326.46   19.72 1.202  -2.428 0.084 3326.08   19.57 1.293  -3.306 0.065  23.707  1.108  0.574
9             6663.56   19.63 1.399  -2.128 0.056 6663.52   19.27 1.202  -2.525 0.084 6664.00   19.09 1.293  -3.162 0.085  23.611  0.323  0.360
10            6274.42   21.47 1.399   -6.23 0.002 6274.66   20.99 1.202  -7.519 0.001 6274.44   21.29 1.293   -8.82 0.001  18.616  1.342  0.950
11            4632.16   22.33 1.399  -7.248 0.001 4632.51   21.82 1.202  -7.705 0.001 4632.22   22.01 1.293  -8.283 0.001  18.431  0.392  0.308
12            3465.19   22.77 1.399  -1.439 0.116 3465.47   22.85 1.202  -1.811 0.156 3465.93   22.51 1.293  -2.458 0.154  24.325  0.295  0.369
13            2941.30   26.38 1.399  -3.852 0.012 2941.64   26.36 1.202  -5.092 0.008 2941.27   26.37 1.293  -6.254 0.005  21.043  1.286  0.826
14            1483.57   29.03 1.399  -3.203 0.023 1483.85   28.85 1.202  -3.629 0.031 1483.49   28.80 1.293  -4.139 0.034  22.507  0.356  0.247
15            2609.15   31.38 1.399  -2.971 0.026 2609.37   31.59 1.202  -4.474 0.014 2608.83   31.48 1.293  -6.026 0.006  21.660  1.587  1.173
16             365.55   33.61 1.399  -2.406 0.045  365.58   34.18 1.202  -2.831 0.068  365.63   33.68 1.293  -3.786 0.049  23.305  0.355  0.643
17             168.03   34.88 1.399  -2.091 0.062  168.34   34.42 1.202  -2.004 0.136  168.33   34.98 1.293  -2.819 0.108  24.133 -0.230  0.518
18            4210.90   36.52 1.399  -1.741 0.077 4210.48   37.51 1.202  -1.999 0.120 4211.47   36.88 1.293  -2.367 0.154  24.138  0.164  0.121
19            4617.57   37.17 1.399  -4.065 0.010 4617.89   36.68 1.202  -5.064 0.008 4617.59   36.91 1.293  -6.012 0.006  21.071  1.011  0.636
20            1324.50   37.70 1.399  -1.828 0.072 1324.66   38.18 1.202  -3.327 0.038 1324.20   38.08 1.293  -4.941 0.015  22.807  1.582  1.228
21            7060.32   38.44 1.399  -3.744 0.013 7060.73   37.95 1.202  -4.226 0.016 7060.36   38.42 1.293  -4.783 0.018  21.910  0.420  0.289
22            2184.90   39.12 1.399   -2.09 0.058 2185.28   39.17 1.202  -2.753 0.065 2184.28   39.29 1.293  -3.283 0.071  23.383  0.627  0.265
23            3991.48   40.79 1.399  -1.624 0.097 3992.09   40.33 1.202  -3.075 0.047 3991.88   40.58 1.293  -4.427 0.024  23.059  1.527  0.995
24            6692.22   42.98 1.399   -2.61 0.036 6692.54   42.42 1.202  -3.906 0.022 6692.29   42.76 1.293  -5.193 0.012  22.229  1.350  0.937
25            6883.40   44.76 1.399  -2.151 0.053 6883.94   43.83 1.202  -2.441 0.083 6883.48   44.50 1.293  -3.204 0.075  23.696  0.201  0.472
26            6051.24   45.58 1.399  -2.375 0.044 6051.48   44.97 1.202  -4.011 0.021 6051.16   45.21 1.293  -5.955 0.006  22.123  1.738  1.521
27             252.40   46.30 1.399  -4.451 0.007  252.54   46.48 1.202  -4.981 0.009  252.23   46.26 1.293  -5.557 0.009  21.155  0.475  0.306
28            2258.86   47.46 1.399  -2.161 0.054 2259.34   47.53 1.202  -3.505 0.031 2258.72   47.69 1.293   -4.93 0.015  22.629  1.405  1.060
29            5741.60   48.74 1.399  -4.736 0.006 5741.81   48.35 1.202  -6.136 0.003 5741.63   48.53 1.293  -7.617 0.002  19.998  1.469  1.110
30             572.85   50.52 1.399  -1.653 0.088  573.47   50.87 1.202   -2.32 0.098  572.34   51.03 1.293  -2.859 0.107  23.816  0.632  0.273
31            2619.41   53.36 1.399  -2.265 0.050 2620.09   52.93 1.202   -2.84 0.058 2619.44   53.10 1.293  -4.122 0.033  23.296  0.527  0.933
32            1320.29   54.17 1.399  -2.683 0.035 1320.40   54.44 1.202  -2.787 0.063 1319.66   54.33 1.293  -3.202 0.075  23.350 -0.011  0.163
33            3371.81   53.00 1.399   -2.49 0.042 3372.18   53.13 1.202  -3.214 0.043 3371.74   53.32 1.293   -3.95 0.039  22.922  0.697  0.448
34            7116.65   55.93 1.399  -1.953 0.061 7116.88   55.50 1.202   -2.99 0.048 7116.49   55.43 1.293  -3.964 0.035  23.145  1.054  0.659
35            1158.87   58.71 1.399  -1.889 0.073 1159.23   58.87 1.202   -3.33 0.039 1158.93   58.52 1.293  -4.708 0.019  22.804  1.516  1.018
36            5488.80   59.30 1.399  -3.237 0.020 5489.15   58.71 1.202  -3.565 0.029 5488.72   58.95 1.293  -3.952 0.037  22.571  0.244  0.138
37            6142.78   59.02 1.399  -2.591 0.037 6143.11   58.39 1.202  -3.925 0.021 6142.87   58.61 1.293  -5.602 0.008  22.209  1.393  1.284
38            3984.68   60.17 1.399  -2.077 0.066 3984.85   59.89 1.202  -3.501 0.033 3984.51   60.13 1.293  -4.928 0.016  22.633  1.496  1.062
39            3944.30   62.02 1.399  -4.302 0.009 3944.65   61.75 1.202  -4.989 0.009 3944.34   61.84 1.293  -5.675 0.008  21.147  0.654  0.404
40            4100.61   65.03 1.399  -2.783 0.030 4101.02   64.51 1.202  -3.335 0.038 4100.49   64.52 1.293  -4.164 0.034  22.801  0.500  0.531
41             373.34   65.80 1.399  -1.609 0.099  373.32   66.31 1.202  -3.017 0.053  372.72   65.99 1.293  -4.181 0.032  23.117  1.478  0.828
42            1294.47   67.17 1.399  -1.953 0.068 1294.83   67.15 1.202  -2.251 0.107 1294.06   66.48 1.293    -2.9 0.100  23.886  0.210  0.371
43            3498.52   67.24 1.399  -3.319 0.020 3498.82   67.25 1.202  -4.181 0.018 3498.49   67.30 1.293  -5.081 0.014  21.954  0.854  0.594
44            3741.59   69.20 1.399  -2.046 0.061 3741.65   69.20 1.202  -3.333 0.037 3741.42   69.48 1.293  -4.677 0.020  22.802  1.340  0.988
45            5634.92   69.08 1.399  -3.004 0.023 5635.48   68.59 1.202  -4.067 0.018 5635.13   68.73 1.293  -5.054 0.013  22.068  1.084  0.671
46            1650.32   74.60 1.399  -2.437 0.041 1650.61   74.09 1.202  -3.194 0.042 1650.28   74.18 1.293  -3.896 0.038  22.942  0.734  0.418
47            4813.24   73.99 1.399  -2.327 0.046 4813.68   73.28 1.202  -3.067 0.047 4813.39   73.64 1.293  -3.685 0.046  23.069  0.715  0.343
48            1477.99   75.36 1.399  -5.749 0.003 1478.34   75.36 1.202  -6.321 0.003 1477.87   75.24 1.293  -6.956 0.003  19.815  0.523  0.358
49            2908.19   77.54 1.399  -4.695 0.006 2908.42   77.53 1.202  -6.058 0.004 2908.11   77.56 1.293  -7.393 0.002  20.076  1.427  0.980
50            1523.84   80.39 1.399   -4.87 0.006 1524.22   80.38 1.202  -5.515 0.006 1523.78   80.26 1.293  -6.219 0.005  20.621  0.606  0.420
51            1121.74   81.06 1.399  -3.032 0.027 1122.16   81.48 1.202  -4.493 0.013 1121.79   81.33 1.293   -5.91 0.006  21.641  1.539  1.053
52            6746.89   82.40 1.399   -1.67 0.083 6747.88   82.92 1.202  -2.181 0.103 6747.23   82.44 1.293   -2.94 0.089  23.955  0.453  0.469
53            5051.35   83.89 1.399  -2.683 0.033 5051.57   83.30 1.202   -3.72 0.025 5051.31   83.58 1.293  -4.608 0.020  22.415  1.054  0.583
54            2360.66   85.32 1.399  -2.606 0.036 2360.87   84.92 1.202  -3.075 0.045 2360.34   85.31 1.293  -3.777 0.044  23.061  0.405  0.418
55            7193.88   86.56 1.399  -4.156 0.010 7194.34   86.22 1.202  -5.652 0.005 7193.86   86.42 1.293  -7.497 0.002  20.482  1.579  1.433
56            2308.41   88.43 1.399  -3.811 0.013 2308.69   88.49 1.202  -4.332 0.015 2308.30   88.51 1.293  -4.953 0.015  21.804  0.465  0.346
57            6629.53   90.67 1.399  -1.589 0.086 6630.90   91.31 1.202   -2.03 0.111 6629.50   90.54 1.293  -3.134 0.072  24.106  0.373  0.775
58            6927.04   93.51 1.399  -2.943 0.026 6927.27   93.07 1.202  -3.389 0.032 6927.18   93.04 1.293  -3.954 0.036  22.747  0.379  0.296
59            1530.00   93.64 1.399   -0.91 0.183 1530.06   93.18 1.202  -1.892 0.147 1529.54   93.36 1.293  -2.582 0.139  24.243  0.991  0.407
60            3716.26   94.46 1.399  -2.874 0.031 3716.53   94.08 1.202  -3.072 0.054 3716.37   94.13 1.293  -3.661 0.057  23.065  0.096  0.318
61            3609.94   95.00 1.399  -1.904 0.081 3610.52   94.41 1.202  -2.342 0.099 3610.29   94.77 1.293  -3.481 0.063  23.794  0.370  0.806
62            5638.49   94.99 1.399  -1.998 0.061 5638.59   94.39 1.202  -3.278 0.037 5638.37   94.57 1.293  -4.595 0.020  22.857  1.332  0.964
63            6998.27   95.17 1.399  -6.438 0.002 6998.54   94.64 1.202   -7.59 0.001 6998.23   95.04 1.293  -8.818 0.001  18.545  1.186  0.885
64            1124.91   96.10 1.399  -7.875 0.001 1125.26   96.16 1.202  -8.347 0.001 1124.80   95.95 1.293  -8.932 0.001  17.789  0.409  0.314
65            5574.80   97.29 1.399  -4.529 0.007 5575.24   96.73 1.202  -5.172 0.007 5574.91   97.12 1.293  -5.881 0.006  20.964  0.604  0.424
66            2856.39   98.34 1.399  -3.515 0.017 2856.58   98.22 1.202  -4.043 0.020 2856.35   98.26 1.293  -4.641 0.020  22.093  0.473  0.326
67            4615.23   97.76 1.399  -1.741 0.075 4615.33   98.82 1.202  -2.276 0.093 4615.61   97.73 1.293  -2.906 0.091  23.860  0.481  0.354
68             877.37   98.72 1.399  -2.478 0.041  877.56   98.63 1.202  -3.059 0.046  877.29   98.89 1.293  -3.728 0.044  23.077  0.533  0.389
69            3692.79  111.23 1.399  -6.965 0.001 3693.31  111.28 1.202  -7.781 0.001 3692.75  111.25 1.293  -8.557 0.001  18.354  0.802  0.484
70            6128.67  100.09 1.399  -3.422 0.017 6129.10   99.56 1.202  -4.827 0.010 6128.87   99.81 1.293  -6.406 0.004  21.307  1.475  1.197
71            7390.12  100.08 1.399  -2.179 0.055 7390.16   99.53 1.202  -3.059 0.046 7389.93  100.04 1.293  -4.263 0.027  23.076  0.875  0.864
72            1536.18  101.33 1.399  -2.418 0.046 1536.36  101.66 1.202  -3.184 0.044 1536.37  101.44 1.293  -3.922 0.039  22.952  0.745  0.450
73            7202.57  101.31 1.399  -5.727 0.003 7202.95  100.75 1.202  -5.803 0.004 7202.57  101.16 1.293  -6.118 0.005  20.334 -0.043  0.074
74             835.59  100.66 1.399  -1.817 0.076  835.58  100.98 1.202   -2.17 0.102  834.40  100.84 1.293  -3.096 0.080  23.966  0.273  0.617
75            7350.28  102.23 1.399  -2.207 0.051 7350.62  101.79 1.202  -3.472 0.033 7350.44  102.34 1.293  -4.678 0.018  22.663  1.315  0.865
76            6396.94  105.01 1.399  -2.763 0.031 6397.21  104.34 1.202  -3.069 0.043 6397.40  104.70 1.293  -3.582 0.052  23.068  0.219  0.250
77            5169.07  108.83 1.399  -1.977 0.062 5169.11  108.67 1.202  -2.758 0.057 5168.87  108.50 1.293  -3.593 0.050  23.378  0.762  0.536
78            5813.82  109.12 1.399  -7.878 0.001 5814.27  108.50 1.202  -8.306 0.001 5813.94  108.71 1.293  -8.879 0.001  17.830  0.359  0.303
79            7008.21  109.50 1.399  -4.273 0.009 7008.40  109.19 1.202  -5.532 0.005 7008.12  109.40 1.293  -6.873 0.003  20.603  1.308  0.985
80            1740.14  110.26 1.399  -4.798 0.006 1740.41  110.31 1.202  -6.082 0.004 1739.97  110.25 1.293  -7.357 0.002  20.053  1.336  0.927
81            6174.89  110.25 1.399  -2.407 0.041 6175.21  109.45 1.202  -2.845 0.054 6175.07  109.87 1.293  -3.329 0.063  23.291  0.370  0.224
82            3692.79  111.23 1.399  -6.965 0.001 3693.31  111.28 1.202  -7.781 0.001 3692.75  111.25 1.293  -8.557 0.001  18.354  0.802  0.484
83            4014.14  111.23 1.399  -0.776 0.212 4016.21  111.90 1.202  -1.783 0.163 4014.27  111.09 1.293  -3.815 0.047  24.352  1.020  1.599
84             888.96  113.16 1.399  -1.925 0.068  889.45  113.08 1.202  -1.887 0.134  888.88  112.88 1.293  -2.777 0.102  24.250 -0.174  0.585
85            1431.44  113.14 1.399  -2.157 0.054 1431.36  113.27 1.202  -3.626 0.029 1431.18  113.41 1.293  -4.955 0.015  22.508  1.548  0.975
86            4361.63  113.64 1.399  -3.805 0.012 4361.97  113.35 1.202  -4.484 0.012 4361.69  113.39 1.293  -5.172 0.012  21.652  0.645  0.406
87            6358.61  113.42 1.399  -4.109 0.010 6358.95  112.92 1.202  -4.759 0.010 6358.69  113.19 1.293  -5.477 0.009  21.377  0.612  0.432
88            3394.74  118.11 1.399  -6.601 0.002 3394.97  117.94 1.202  -7.067 0.002 3394.79  117.96 1.293  -7.643 0.002  19.069  0.402  0.306
89            3744.59  118.39 1.399  -3.607 0.016 3745.05  118.46 1.202  -4.556 0.013 3744.74  118.49 1.293  -5.527 0.009  21.579  0.954  0.657
90             692.57  120.55 1.399  -2.032 0.058  692.42  120.76 1.202  -2.507 0.079  692.18  120.01 1.293  -2.963 0.088  23.629  0.412  0.200
91            1006.91  120.41 1.399    -3.1 0.024 1007.33  120.57 1.202  -4.664 0.011 1006.97  120.36 1.293  -6.407 0.004  21.470  1.656  1.342
92            4506.78  120.36 1.399  -2.976 0.026 4506.77  119.94 1.202  -3.869 0.022 4506.46  120.26 1.293  -4.664 0.019  22.266  0.890  0.501
93             879.88  124.13 1.399  -2.867 0.029  880.40  124.24 1.202  -3.217 0.041  879.93  124.29 1.293  -3.979 0.035  22.919  0.270  0.471
94            3665.22  128.73 1.399  -3.854 0.013 3665.34  128.69 1.202  -4.529 0.014 3665.06  128.60 1.293  -5.265 0.013  21.607  0.641  0.448
95            1054.28  129.72 1.399  -2.801 0.030 1054.47  129.74 1.202  -3.855 0.023 1054.27  129.97 1.293  -4.821 0.017  22.280  1.074  0.652
96            5912.90  132.47 1.399  -2.249 0.049 5913.04  131.65 1.202  -3.218 0.040 5912.76  132.45 1.293   -4.43 0.025  22.917  0.977  0.871
97            2945.24  137.63 1.399  -2.283 0.051 2945.37  137.57 1.202  -2.422 0.088 2945.03  137.84 1.293    -3.1 0.084  23.715  0.028  0.397
98             521.07  140.50 1.399  -5.743 0.003  521.31  140.65 1.202  -6.921 0.002  520.93  140.45 1.293  -8.088 0.001  19.214  1.215  0.831
99            1234.05  140.38 1.399  -4.277 0.009 1234.33  140.41 1.202   -5.01 0.009 1233.83  140.38 1.293  -5.748 0.008  21.126  0.707  0.450
100           5528.60  140.50 1.399  -2.782 0.029 5528.87  139.89 1.202  -3.503 0.030 5528.94  140.21 1.293  -4.849 0.016  22.633  0.693  0.990
101           6876.73  139.45 1.399   -1.98 0.063 6877.39  139.39 1.202  -3.218 0.040 6876.94  139.70 1.293  -4.562 0.022  22.917  1.284  0.988
102           4715.69  142.16 1.399  -4.048 0.010 4716.15  141.82 1.202  -5.016 0.008 4715.73  142.12 1.293  -5.997 0.006  21.119  0.975  0.666
103           1295.31  143.56 1.399  -6.085 0.002 1295.55  143.66 1.202  -7.512 0.001 1295.20  143.52 1.293  -8.899 0.001  18.622  1.500  1.026
104           6853.38  144.95 1.399  -1.734 0.074 6853.70  144.66 1.202  -3.646 0.026 6853.38  144.54 1.293  -5.438 0.009  22.487  2.054  1.386
105           1642.25  145.67 1.399  -1.799 0.078 1643.05  145.56 1.202  -2.534 0.077 1641.88  145.55 1.293  -3.106 0.081  23.602  0.709  0.303
106           3167.05  143.61 1.399  -1.768 0.077 3166.75  143.77 1.202  -2.285 0.097 3165.71  145.21 1.293  -3.015 0.087  23.851  0.460  0.443
107           7113.69  149.17 1.399   -1.61 0.086 7114.14  149.43 1.202   -2.98 0.047 7114.12  149.15 1.293  -4.513 0.020  23.154  1.435  1.156
108             13.15  151.43 1.399   -1.59 0.088   12.88  151.61 1.202  -2.651 0.067   12.66  151.00 1.293  -4.009 0.037  23.484  1.082  1.000
109           5098.54  152.82 1.399  -2.439 0.040 5098.87  152.35 1.202  -3.468 0.033 5098.63  152.53 1.293  -4.411 0.024  22.667  1.045  0.632
110           1291.20  152.52 1.399  -5.322 0.004 1291.42  152.65 1.202  -6.821 0.002 1291.01  152.50 1.293  -8.332 0.001  19.313  1.582  1.136
111           6505.65  153.56 1.399  -1.557 0.095 6506.35  153.40 1.202  -2.942 0.050 6505.74  153.56 1.293  -4.137 0.030  23.192  1.452  0.856
112           6783.47  155.88 1.399  -1.156 0.124 6783.58  155.50 1.202  -2.452 0.076 6783.91  155.86 1.293  -3.606 0.049  23.683  1.350  0.819
113            843.36  157.27 1.399  -3.966 0.011  843.60  157.50 1.202  -5.387 0.006  843.33  157.31 1.293  -7.015 0.003  20.747  1.493  1.240
114           3576.20  157.51 1.399  -1.515 0.104 3577.08  157.49 1.202  -1.945 0.130 3575.82  157.21 1.293  -2.949 0.096  24.191  0.361  0.686
115           2815.82  160.47 1.399  -2.654 0.034 2816.16  160.63 1.202  -3.963 0.021 2815.85  160.65 1.293  -5.203 0.012  22.171  1.365  0.896
116           7166.48  163.37 1.399  -3.069 0.025 7166.72  163.10 1.202  -4.277 0.015 7166.38  163.26 1.293  -5.672 0.007  21.858  1.250  1.033
117           5443.78  164.82 1.399  -4.236 0.009 5444.10  164.39 1.202  -4.654 0.012 5443.86  164.54 1.293  -5.251 0.011  21.482  0.347  0.325
118           4124.06  166.43 1.399  -2.504 0.037 4124.78  166.50 1.202  -2.896 0.054 4124.12  165.96 1.293  -3.745 0.045  23.240  0.317  0.548
119           5745.87  167.11 1.399  -3.188 0.021 5746.14  166.46 1.202  -3.583 0.028 5746.07  166.53 1.293  -4.242 0.028  22.553  0.321  0.380
120           6375.48  168.74 1.399   -4.13 0.010 6375.70  168.25 1.202  -4.804 0.010 6375.56  168.50 1.293  -5.515 0.009  21.332  0.640  0.426
121           7419.82  168.35 1.399  -3.086 0.023 7420.02  168.14 1.202  -3.546 0.027 7419.73  168.29 1.293   -4.13 0.029  22.590  0.395  0.313
122           5147.41  168.39 1.399  -1.448 0.101 5147.95  168.07 1.202  -2.344 0.094 5147.87  167.94 1.293  -3.949 0.038  23.791  0.893  1.220
123           2408.13  170.69 1.399   -2.37 0.046 2407.90  170.48 1.202  -2.721 0.067 2407.51  170.12 1.293  -3.183 0.076  23.415  0.271  0.205
124           3409.32  171.09 1.399  -2.053 0.060 3410.07  171.09 1.202  -2.867 0.060 3409.61  171.32 1.293  -3.287 0.069  23.268  0.800  0.168
125           2680.53  172.09 1.399  -2.241 0.052 2680.49  171.88 1.202   -3.53 0.032 2680.20  172.03 1.293  -5.115 0.013  22.605  1.342  1.202
126           1382.32  173.37 1.399  -2.818 0.032 1382.54  173.35 1.202  -3.839 0.024 1382.20  173.42 1.293  -5.016 0.015  22.296  1.036  0.840
127           1942.22  174.40 1.399  -2.591 0.038 1942.53  174.63 1.202  -3.352 0.037 1942.12  174.49 1.293  -4.018 0.037  22.784  0.739  0.386
128           3775.46  174.36 1.399  -7.606 0.001 3775.82  174.33 1.202  -8.187 0.001 3775.50  174.34 1.293  -8.826 0.001  17.949  0.533  0.362
129           5111.61  175.42 1.399  -4.279 0.008 5111.97  175.13 1.202  -5.642 0.005 5111.70  175.28 1.293  -7.084 0.002  20.492  1.427  1.075
130           7402.59  174.76 1.399  -3.259 0.020 7402.69  174.60 1.202    -4.6 0.011 7402.41  174.84 1.293  -5.892 0.006  21.534  1.401  0.942
131           3710.57  176.47 1.399  -2.009 0.061 3711.34  175.71 1.202  -2.313 0.098 3710.39  176.17 1.293  -2.981 0.095  23.824  0.217  0.388
132           7440.43  177.46 1.399  -3.216 0.021 7440.79  176.93 1.202  -3.611 0.028 7440.42  177.50 1.293  -4.239 0.027  22.525  0.321  0.352
133           2543.62  180.16 1.399  -2.783 0.031 2543.80  180.27 1.202  -4.047 0.019 2543.61  180.23 1.293  -5.407 0.010  22.088  1.314  1.002
134           2024.69  181.28 1.399  -2.376 0.044 2025.31  181.10 1.202  -2.922 0.055 2024.90  181.23 1.293  -3.913 0.040  23.214  0.493  0.675
135           2706.23  183.74 1.399  -2.096 0.056 2706.42  183.42 1.202  -2.383 0.089 2705.84  182.89 1.293  -3.084 0.086  23.754  0.198  0.417
136           4647.34  182.94 1.399  -3.248 0.020 4647.52  182.57 1.202   -4.07 0.018 4647.23  182.73 1.293  -4.962 0.014  22.065  0.809  0.587
137           2036.78  184.69 1.399  -1.712 0.082 2037.24  184.57 1.202  -2.003 0.128 2036.98  184.55 1.293  -3.113 0.083  24.134  0.202  0.780
138           1787.51  186.17 1.399  -3.595 0.016 1787.86  186.26 1.202  -4.932 0.009 1787.50  186.19 1.293  -6.283 0.005  21.202  1.397  0.994
139           5619.72  186.36 1.399  -1.464 0.100 5620.19  186.27 1.202  -3.065 0.045 5619.84  186.51 1.293  -4.511 0.022  23.069  1.698  1.079
