Type  Redshift    U-B      B-V      V-R     R-I
E/S0    0.000            0.582    0.950    0.596    0.660
E/S0    0.025            0.523    1.034    0.611    0.663
E/S0    0.050            0.448    1.128    0.623    0.671
E/S0    0.075            0.387    1.224    0.632    0.684
E/S0    0.100            0.336    1.316    0.640    0.703
E/S0    0.125            0.296    1.396    0.655    0.725
E/S0    0.150            0.276    1.461    0.684    0.739
E/S0    0.175            0.282    1.514    0.724    0.750
E/S0    0.200            0.321    1.554    0.770    0.767
E/S0    0.225            0.397    1.577    0.819    0.784
E/S0    0.250            0.498    1.578    0.880    0.796
E/S0    0.275            0.602    1.557    0.954    0.810
E/S0    0.300            0.709    1.526    1.034    0.833
E/S0    0.325            0.827    1.495    1.108    0.863
E/S0    0.350            0.953    1.469    1.176    0.892
E/S0    0.375            1.073    1.450    1.241    0.922
E/S0    0.400            1.174    1.440    1.301    0.951
E/S0    0.425            1.248    1.442    1.349    0.980
E/S0    0.450            1.287    1.458    1.380    1.019
E/S0    0.475            1.282    1.487    1.396    1.067
E/S0    0.500            1.225    1.533    1.400    1.120
E/S0    0.525            1.126    1.591    1.395    1.171
E/S0    0.550            0.993    1.660    1.381    1.223
E/S0    0.575            0.839    1.734    1.361    1.273
E/S0    0.600            0.674    1.809    1.341    1.326
E/S0    0.625            0.508    1.880    1.324    1.377
E/S0    0.650            0.348    1.947    1.308    1.422
E/S0    0.675            0.198    2.006    1.297    1.461
E/S0    0.700            0.064    2.055    1.292    1.494
Sab    0.000            0.400    0.849    0.632    0.698
Sab    0.025            0.444    0.893    0.652    0.704
Sab    0.050            0.453    0.949    0.666    0.711
Sab    0.075            0.434    1.015    0.673    0.725
Sab    0.100            0.386    1.087    0.677    0.742
Sab    0.125            0.325    1.158    0.682    0.767
Sab    0.150            0.267    1.228    0.691    0.780
Sab    0.175            0.222    1.296    0.703    0.792
Sab    0.200            0.197    1.359    0.718    0.807
Sab    0.225            0.190    1.413    0.738    0.822
Sab    0.250            0.212    1.450    0.767    0.832
Sab    0.275            0.252    1.471    0.806    0.845
Sab    0.300            0.300    1.475    0.852    0.863
Sab    0.325            0.342    1.470    0.901    0.879
Sab    0.350            0.375    1.456    0.955    0.894
Sab    0.375            0.394    1.433    1.014    0.908
Sab    0.400            0.390    1.409    1.077    0.921
Sab    0.425            0.378    1.379    1.139    0.933
Sab    0.450            0.368    1.356    1.190    0.951
Sab    0.475            0.359    1.336    1.238    0.977
Sab    0.500            0.342    1.321    1.274    1.007
Sab    0.525            0.306    1.317    1.302    1.037
Sab    0.550            0.257    1.320    1.321    1.072
Sab    0.575            0.211    1.335    1.323    1.107
Sab    0.600            0.148    1.358    1.313    1.153
Sab    0.625            0.083    1.382    1.298    1.195
Sab    0.650            0.011    1.403    1.282    1.236
Sab    0.675           -0.067    1.418    1.264    1.272
Sab    0.700           -0.127    1.426    1.244    1.312
Sbc     0.000            0.068    0.656    0.506    0.616
Sbc     0.025            0.125    0.695    0.519    0.610
Sbc     0.050            0.174    0.742    0.529    0.607
Sbc     0.075            0.209    0.797    0.532    0.606
Sbc     0.100            0.228    0.855    0.531    0.616
Sbc     0.125            0.235    0.913    0.534    0.645
Sbc     0.150            0.231    0.971    0.544    0.652
Sbc     0.175            0.210    1.031    0.556    0.654
Sbc     0.200            0.176    1.091    0.569    0.659
Sbc     0.225            0.131    1.146    0.588    0.667
Sbc     0.250            0.078    1.192    0.615    0.674
Sbc     0.275            0.019    1.228    0.648    0.686
Sbc     0.300           -0.040    1.255    0.681    0.702
Sbc     0.325           -0.096    1.273    0.715    0.717
Sbc     0.350           -0.151    1.281    0.756    0.730
Sbc     0.375           -0.204    1.281    0.801    0.743
Sbc     0.400           -0.252    1.274    0.844    0.754
Sbc     0.425           -0.294    1.257    0.889    0.763
Sbc     0.450           -0.331    1.235    0.929    0.772
Sbc     0.475           -0.362    1.205    0.969    0.793
Sbc     0.500           -0.389    1.169    1.008    0.818
Sbc     0.525           -0.411    1.130    1.044    0.846
Sbc     0.550           -0.430    1.087    1.074    0.876
Sbc     0.575           -0.446    1.041    1.102    0.908
Sbc     0.600           -0.461    0.997    1.124    0.943
Sbc     0.625           -0.474    0.954    1.141    0.978
Sbc     0.650           -0.486    0.908    1.154    1.014
Sbc     0.675           -0.498    0.868    1.163    1.046
Sbc     0.700           -0.509    0.828    1.165    1.076
Scd     0.000           -0.050    0.584    0.484    0.464
Scd     0.025           -0.003    0.608    0.506    0.473
Scd     0.050            0.020    0.642    0.521    0.484
Scd     0.075            0.015    0.686    0.527    0.494
Scd     0.100           -0.013    0.734    0.524    0.521
Scd     0.125           -0.052    0.783    0.523    0.577
Scd     0.150           -0.095    0.833    0.523    0.599
Scd     0.175           -0.141    0.887    0.523    0.615
Scd     0.200           -0.187    0.939    0.524    0.631
Scd     0.225           -0.230    0.987    0.529    0.646
Scd     0.250           -0.268    1.021    0.542    0.659
Scd     0.275           -0.303    1.042    0.563    0.672
Scd     0.300           -0.334    1.050    0.587    0.686
Scd     0.325           -0.359    1.048    0.615    0.699
Scd     0.350           -0.383    1.032    0.656    0.707
Scd     0.375           -0.407    1.006    0.701    0.715
Scd     0.400           -0.432    0.977    0.748    0.721
Scd     0.425           -0.459    0.942    0.795    0.719
Scd     0.450           -0.486    0.904    0.836    0.715
Scd     0.475           -0.515    0.870    0.869    0.727
Scd     0.500           -0.545    0.830    0.903    0.743
Scd     0.525           -0.574    0.794    0.928    0.764
Scd     0.550           -0.603    0.764    0.940    0.786
Scd     0.575           -0.630    0.727    0.948    0.817
Scd     0.600           -0.656    0.700    0.947    0.847
Scd     0.625           -0.680    0.677    0.942    0.875
Scd     0.650           -0.701    0.649    0.930    0.908
Scd     0.675           -0.721    0.626    0.916    0.937
Scd     0.700           -0.739    0.604    0.902    0.959
Irr     0.000           -0.411    0.269    0.333    0.440
Irr     0.025           -0.350    0.305    0.311    0.433
Irr     0.050           -0.292    0.340    0.295    0.428
Irr     0.075           -0.257    0.380    0.279    0.422
Irr     0.100           -0.265    0.423    0.262    0.440
Irr     0.125           -0.295    0.466    0.267    0.483
Irr     0.150           -0.334    0.512    0.281    0.468
Irr     0.175           -0.375    0.557    0.288    0.457
Irr     0.200           -0.422    0.600    0.294    0.449
Irr     0.225           -0.474    0.643    0.302    0.442
Irr     0.250           -0.521    0.675    0.315    0.440
Irr     0.275           -0.572    0.703    0.328    0.439
Irr     0.300           -0.621    0.726    0.349    0.432
Irr     0.325           -0.655    0.746    0.354    0.434
Irr     0.350           -0.687    0.748    0.381    0.423
Irr     0.375           -0.713    0.729    0.419    0.421
Irr     0.400           -0.732    0.711    0.451    0.415
Irr     0.425           -0.749    0.672    0.499    0.405
Irr     0.450           -0.763    0.631    0.544    0.390
Irr     0.475           -0.774    0.607    0.561    0.434
Irr     0.500           -0.784    0.555    0.616    0.451
Irr     0.525           -0.792    0.510    0.659    0.475
Irr     0.550           -0.799    0.487    0.673    0.469
Irr     0.575           -0.804    0.426    0.693    0.534
Irr     0.600           -0.808    0.396    0.697    0.538
Irr     0.625           -0.811    0.375    0.707    0.567
Irr     0.650           -0.812    0.335    0.690    0.602
Irr     0.675           -0.813    0.312    0.683    0.641
Irr     0.700           -0.813    0.296    0.687    0.641
