name,group_type,type,S_N,S_N_err,ra,dec,distance,distance_err,dmod,dmod_err,M_V,M_V_err,T,T_err,N_GC,N_GC_err,environment,environment,density,F_blue,T_blue,Extent,Extent_err,id,Source,mass,mass_err,oursurvey,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,name2,sig_e,sig_e_err,R_e,R_e_err,Mdyn,Mdyn_err,Lb,Lb_err,Lr,Lr_err,Nblue,Nblue_err,Nred,Nred_err,m_K,m_K_err,M_K,M_K_err,name3,name4
NGC891,Spiral,Sb,0.3,0.1,35.6392245,42.3491458,8.36,0.56,29.6,0.1,-20.79,0.2,0.6,0.3,70,20,Field,Field,0.55,0.5,0.3,9,3,25,R10,11,0.08,Our survey,NA,,,NGC891,73.1,10.2,5.43,0.36,10.43,0.14,0.50,0.10,0.50,0.10,35,19,35,19,5.94,0.02,-23.67,0.15,NGC891,NGC891
NGC7814,Spiral,Sab,1.3,0.4,0.8120417,16.1454167,13.18,0.88,30.6,0.1,-20.4,0.28,2.2,0.8,165,25,Field,Field,0.12,0.58,1.3,13,4,17,RZ03,10.9,0.1,Our survey,NA,,,NGC7814,169.2,7.2,2.84,0.19,10.88,0.06,0.58,0.10,0.42,0.10,95,33,69,29,7.08,0.02,-23.52,0.15,NGC7814,NGC7814
NGC7457,S0,S0,3.1,0.7,345.2497258,30.1449408,13.24,1.34,30.6,0.2,-19.54,0.25,4.8,1.1,210,30,Field,Field,0.13,0.58,2.8,12,2,15,H11,10.6,0.1,Our survey,6.59106,0.2,0.2,NGC7457,67,3,2.06,0.21,9.93,0.08,0.58,0.10,0.42,0.10,121,41,88,36,8.19,0.02,-22.42,0.22,NGC7457,NGC7457
NGC7332,S0,S0pec,0.9,0.3,339.35225,23.7983333,23.01,2.22,31.8,0.2,-20.75,0.25,1.4,0.4,175,15,Isolated,Field,0.12,0.57,0.8,13.1,3.1,12,Y12,11.1,0.1,Our survey,7.11394,0.17,0.17,NGC7332,124.9,3.3,1.64,0.16,10.37,0.06,0.57,0.10,0.43,0.10,99,27,75,25,8.01,0.01,-23.80,0.21,NGC7332,NGC7332
NGC7331,Spiral,Sb,0.5,0.4,339.2667242,34.4155189,15.07,0.71,30.9,0.1,-21.7,0.2,0.9,0.7,210,130,Field,Field,0.33,0.5,0.4,18,4,21,R07,11.4,0.1,Our survey,,,,NGC7331,137.2,3.5,6.22,0.29,11.04,0.04,0.50,0.10,0.50,0.10,105,99,105,99,6.03,0.02,-24.86,0.10,NGC7331,NGC7331
NGC5866,S0,SA0,1.3,0.4,226.6229117,55.7632133,15.35,0.87,30.9,0.1,-20.94,0.2,1.9,0.5,340,80,Loose,Group,0.24,0.74,1.6,44,11,11,H12,11.2,0.1,Our survey,NA,,,NGC5866,159,9.8,3.01,0.17,10.85,0.08,0.26,0.10,0.74,0.10,89,64,250,102,6.87,0.02,-24.06,0.12,NGC5866,NGC5866
NGC5846,E,E0,4.8,1.5,NA,NA,24.9,0.5,32.0,0.0,-22,0.2,5.6,1.7,3100,150,Group,Group,NA,0.35,2,96.3,17.2,46,in Prep,11.744,0.08,Our survey,9.04,0.07,0.03,NGC5846,239.3,4.3,7.56,0.73,11.6,0.06,0.33,0.03,0.26,0.03,1026,150,802,134,6.95,0.03,-25.03,0.05,NGC5846,NGC5846
NGC5813,E,E1,3.6,0.8,225.2967954,1.7019808,32.21,2.78,32.5,0.2,-22.06,0.23,4.2,0.9,2890,394,N5846,Group,0.88,0.68,2.8,121,14,5,H12,11.8,0.1,Our survey,8.832,0.07,0.04,NGC5813,236.5,3.4,8.93,0.77,11.67,0.05,0.56,0.04,0.10,0.02,1603,346,294,99,7.41,0.03,-25.13,0.19,NGC5813,NGC5813
NGC4762,S0,SB0,0.9,0.2,193.2335417,11.2308056,23.88,2.5,31.9,0.2,-21.39,0.24,1.4,0.4,270,30,Virgo,Cluster,2.65,0.4,0.6,27,7,9,H12,11.3,0.1,Our survey,NA,,,NGC4762,147.1,10.3,10.44,1.09,11.32,0.1,0.40,0.10,0.60,0.10,108,42,162,48,7.30,0.03,-24.59,0.23,NGC4762,NGC4762
NGC4754,S0,SB0,0.6,0.1,193.0728995,11.3138861,16.05,0.55,31.0,0.1,-20.7,0.2,0.9,0.2,115,15,Virgo,Cluster,2.62,0.4,0.4,15,4,13,H12,11.1,0.1,Our survey,NA,,,NGC4754,186.4,3.2,2.26,0.1,10.86,0.03,0.40,0.10,0.60,0.10,46,19,69,22,7.41,0.03,-23.61,0.08,NGC4754,NGC4754
