Galaxy,type,Type,M_V,M_V_err,M_K,M_K_err,mass,mass_err,dmod,dmod_err,density,R_e,R_e_err,sig_e,sig_e_err,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,N_GC,N_GC_err,S_N,S_N_err,T,T_err,F_blue,T_blue,Extent,Extent_err,Source
NGC 1023,SB0,S0,-21.1,0.2,-24.1,0.2,11.27,0.10,30.3,0.2,0.57,2.19,0.15,209,10,7.62,0.05,0.04,490,30,1.7,0.3,2.7,0.4,0.57,1.5,20.8,3,Y12
NGC 7332,S0pec,S0,-20.8,0.3,-23.8,0.2,11.11,0.10,31.8,0.2,0.12,1.64,0.16,125,3,7.11,0.17,0.17,175,15,0.9,0.3,1.4,0.4,0.57,0.8,13.1,3.1,Y12
NGC 1055,Sbc,Spiral,-21.7,0.2,-23.9,0.5,11.30,0.10,31.1,0.5,0.25,5.34,1.20,74,14,9999.00,9999.00,9999.00,220,30,0.9,0.2,1.7,0.5,0.59,1,26,6.9,Y12
NGC 7339,Sab,Spiral,-20.9,0.3,-23.3,0.2,11.08,0.10,31.8,0.2,0.11,2.51,0.23,9999,,9999.00,9999.00,9999.00,75,10,0.5,0.2,1.5,0.5,0.6,0.9,9.5,2.9,Y12
NGC 0821,E6,E,-21.1,0.2,-23.9,0.1,11.38,0.08,31.8,0.1,0.08,5.64,0.30,209,10,7.57,0.09,0.23,320,45,1.3,0.2,1.49,0.21,0.7,1.04,26,5,Sp08
NGC 4278,E1-E2,E,-21.0,0.2,-23.9,0.2,11.32,0.10,31.0,0.2,1.28,2.68,0.26,237,5,9999.00,9999.00,9999.00,1378,194,6,1.2,7,1,0.7,4.6,40,10,Sluggs
NGC 0720,E5,E,-21.7,0.4,-24.9,0.2,11.63,0.20,32.2,0.2,0.25,4.84,0.39,241,7,9999.00,9999.00,9999.00,1489,96,3.2,0.2,3.7,0.2,0.6,NA,68,6,Sluggs
NGC 2768,SAb,Spiral,-22.0,0.3,-24.8,0.2,11.51,0.10,31.8,0.2,0.31,6.80,0.80,181,4,9999.00,9999.00,9999.00,744,68,1.3,0.1,2,0.2,0.7,NA,63,3,Sluggs
NGC 7814,Sab,Spiral,-20.4,0.3,-23.5,0.2,10.88,0.10,30.6,0.1,0.12,2.84,0.19,169,7,9999.00,9999.00,9999.00,165,25,1.3,0.4,2.2,0.8,0.58,1.3,13,4,RZ03
NGC 4472,E2,E,-22.7,0.2,-25.8,0.1,12.00,0.10,31.2,0.1,3.31,12.65,0.16,294,3,9.26,0.12,0.12,5870,680,3.6,0.6,4.2,0.6,0.6,2.6,102,7,RZ01
NGC 1316,SAB0pec,S0,-23.1,0.2,-25.7,0.1,12.06,0.10,31.3,0.1,1.15,10.19,0.14,228,3,8.18,0.34,0.17,1450,200,1.2,0.2,1.8,0.2,NA,NA,70,10,Richtler12
